Unique Name	DeletionPeak1	DeletionPeak2	DeletionPeak3	DeletionPeak4	DeletionPeak5	DeletionPeak6	DeletionPeak7	DeletionPeak8	DeletionPeak9	DeletionPeak10	DeletionPeak11	DeletionPeak12	DeletionPeak13	DeletionPeak14	DeletionPeak15	DeletionPeak16	DeletionPeak17	DeletionPeak18	DeletionPeak19	DeletionPeak20	DeletionPeak21	DeletionPeak22	DeletionPeak23	DeletionPeak24	DeletionPeak25	DeletionPeak26	DeletionPeak27	DeletionPeak28	DeletionPeak29	DeletionPeak30	DeletionPeak31	DeletionPeak32
												ALDH8A1	ALDH8A1																			
												HBS1L	HBS1L																			
												MYB	MYB																			
												HSA-MIR-548A-2	HSA-MIR-548A-2																			
												AHI1	AHI1																			
												PDE7B	PDE7B																			
												FAM54A	FAM54A																			
												BCLAF1	BCLAF1																			
												MAP7	MAP7																			
												MAP3K5	MAP3K5																			
												PEX7	PEX7																			
												SLC35D3	SLC35D3																			
												IL20RA	IL20RA																			
												IL22RA2	IL22RA2																			
												IFNGR1	IFNGR1																			
												OLIG3	OLIG3																			
												TNFAIP3	TNFAIP3																			
												PERP	PERP																			
												KIAA1244	KIAA1244																			
												PBOV1	PBOV1																			
												HEBP2	HEBP2																			
												CCDC28A	CCDC28A																			
												C6ORF91	C6ORF91																			
												REPS1	REPS1																			
												C6ORF115	C6ORF115																			
												HECA	HECA																			
												TXLNB	TXLNB																			
												CITED2	CITED2																			
												NMBR	NMBR																			
												VTA1	VTA1																			
												GPR126	GPR126																			
												HIVEP2	HIVEP2																			
												AIG1	AIG1																			
												ADAT2	ADAT2																			
												PEX3	PEX3																			
												FUCA2	FUCA2																			
												PHACTR2	PHACTR2																			
												LTV1	LTV1																			
												PLAGL1	PLAGL1																			
												SF3B5	SF3B5																			
												STX11	STX11																			
												UTRN	UTRN																			
												EPM2A	EPM2A																			
												FBXO30	FBXO30																			
												SHPRH	SHPRH																			
												GRM1	GRM1																			
												RAB32	RAB32																			
												C6ORF103	C6ORF103																			
												STXBP5	STXBP5																			
												SAMD5	SAMD5																			
												SASH1	SASH1																			
												UST	UST																			
												MAP3K7IP2	MAP3K7IP2																			
												SUMO4	SUMO4																			
												ZC3H12D	ZC3H12D																			
												PPIL4	PPIL4																			
												C6ORF72	C6ORF72																			
												KATNA1	KATNA1																			
												LATS1	LATS1																			
												NUP43	NUP43																			
												PCMT1	PCMT1																			
												LRP11	LRP11																			
												RAET1E	RAET1E																			
												RAET1G	RAET1G																			
												ULBP2	ULBP2																			
												ULBP1	ULBP1																			
												RAET1L	RAET1L																			
												ULBP3	ULBP3																			
												PPP1R14C	PPP1R14C																			
												IYD	IYD																			
												PLEKHG1	PLEKHG1																			
												MTHFD1L	MTHFD1L																			
												AKAP12	AKAP12																			
												AKAP12	AKAP12																			
												ZBTB2	ZBTB2																			
												RMND1	RMND1																			
												C6ORF211	C6ORF211																			
												C6ORF97	C6ORF97																			
												ESR1	ESR1																			
												SYNE1	SYNE1																			
												C6ORF98	C6ORF98																			
												MYCT1	MYCT1																			
												VIP	VIP																			
												FBXO5	FBXO5																			
												MTRF1L	MTRF1L																			
												RGS17	RGS17																			
												LOC389435	LOC389435																			
												OPRM1	OPRM1																			
												PIP3-E	PIP3-E																			
												CNKSR3	CNKSR3																			
												RBM16	RBM16																			
												TIAM2	TIAM2																			
												TFB1M	TFB1M																			
												CLDN20	CLDN20																			
												NOX3	NOX3																			
												ARID1B	ARID1B																			
												ZDHHC14	ZDHHC14																			
												SNX9	SNX9																			
												SYNJ2	SYNJ2																			
												SERAC1	SERAC1																			
												GTF2H5	GTF2H5																			
												TULP4	TULP4																			
												TMEM181	TMEM181																			
												DYNLT1	DYNLT1																			
												SYTL3	SYTL3																			
												EZR	EZR																			
												LOC202459	LOC202459																			
												RSPH3	RSPH3																			
												TAGAP	TAGAP																			
												FNDC1	FNDC1																			
												SOD2	SOD2																			
												WTAP	WTAP																			
												WTAP	WTAP																			
												ACAT2	ACAT2																			
												TCP1	TCP1																			
												MRPL18	MRPL18																			
												PNLDC1	PNLDC1																			
												MAS1	MAS1																			
												IGF2R	IGF2R																			
												SLC22A1	SLC22A1																			
												SLC22A2	SLC22A2																			
												SLC22A3	SLC22A3																			
												LPAL2	LPAL2																			
												LPA	LPA																			
												PLG	PLG																			
												MAP3K4	MAP3K4																			
												AGPAT4	AGPAT4																			
												PARK2	PARK2																			
												PACRG	PACRG																			
												QKI	QKI																			
												C6ORF118	C6ORF118																			
												PDE10A	PDE10A																			
												T	T																			
												PRR18	PRR18																			
												SFT2D1	SFT2D1																			
												BRP44L	BRP44L																			
												RPS6KA2	RPS6KA2																			
												RNASET2	RNASET2																			
												FGFR1OP	FGFR1OP																			
												CCR6	CCR6																			
												GPR31	GPR31																			
												UNC93A	UNC93A																			
												TTLL2	TTLL2																			
												TCP10	TCP10																			
												C6ORF124	C6ORF124																			
												MLLT4	MLLT4																			
												KIF25	KIF25																			
												FRMD1	FRMD1																			
												DACT2	DACT2																			
												SMOC2	SMOC2																			
												THBS2	THBS2																			
												WDR27	WDR27																			
												C6ORF120	C6ORF120																			
												PHF10	PHF10																			
												TCTE3	TCTE3																			
												C6ORF70	C6ORF70																			
												DLL1	DLL1																			
												FAM120B	FAM120B																			
												PSMB1	PSMB1																			
												TBP	TBP																			
												PDCD2	PDCD2																			
